"filename", "language", "Batch", "Groovy", "XML", "C++", "Properties", "Java", "Markdown", "cmake", "CMake Cache", "Log", "C", "JSON", "comment", "blank", "total"
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\util\const-integer-set.h", "C++", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 26, 17, 97
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\util\hash-list-inl.h", "C++", 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 31, 20, 194
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\util\hash-list.h", "C++", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 72, 30, 147
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\util\kaldi-io-inl.h", "C++", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13, 41
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\util\kaldi-io.cc", "C++", 0, 0, 0, 606, 0, 0, 0, 0, 0, 0, 0, 0, 212, 81, 899
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\util\kaldi-io.h", "C++", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 153, 44, 267
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\util\kaldi-pipebuf.h", "C++", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 24, 14, 87
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\util\parse-options.cc", "C++", 0, 0, 0, 491, 0, 0, 0, 0, 0, 0, 0, 0, 85, 61, 637
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\util\parse-options.h", "C++", 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 96, 36, 266
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\util\simple-io-funcs.cc", "C++", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 16, 11, 81
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\util\simple-io-funcs.h", "C++", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 32, 14, 62
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\util\stl-utils.h", "C++", 0, 0, 0, 226, 0, 0, 0, 0, 0, 0, 0, 0, 53, 32, 311
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\util\text-utils.cc", "C++", 0, 0, 0, 432, 0, 0, 0, 0, 0, 0, 0, 0, 90, 59, 581
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\util\text-utils.h", "C++", 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 128, 31, 265
